"id","name","coord_x","coord_y","price","located","address"
1,"The Park Hotel",22.5541,88.3519,5465,"Kolkata","17, Park St, Taltala, Kolkata, West Bengal 700016"
2,"Novotel Kolkata",22.5799,88.46194,7500,"Kolkata","Cf 11 Action Area 1C New Town, Rajarhat, Kolkata, West Bengal 700156"
3,"ITC Royal Bengal",22.54622,88.39731,8075,"Kolkata","1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046"
4,"JW Mariott Kolkata",22.54832,88.3992,8500,"Kolkata","4A, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700105"
5,"Polo Floatel Kolkata",22.56965,88.34228,2800,"Kolkata","9, Jetty, 10, Strand Rd, B.B.D. Bagh, Kolkata, West Bengal 700001"
6,"The Oberoi, Mumbai",18.92722,72.82039,13500,"Mumbai","Nariman Point, Mumbai, Maharashtra 400021"
7,"The Trident Hotel",18.92796,72.82093,11500,"Mumbai","Nariman Point, Marine Dr, Mumbai, Maharashtra 400021"
8,"Goldfinch Hotel, Mumbai",19.11988,72.87014,5500,"Mumbai","Plot No.34, 21, MIDC Central Rd, near Akruti Center Point, Chakala Industrial Area (MIDC), Andheri East, Mumbai, Maharashtra 400093"
9,"The Fern, Goregaon",19.16245,72.8571,5700,"Mumbai","4/277, I.B Patel Road Pahadi Road, Village, behind H.P Petrol Pump, Goregaon, Mumbai, Maharashtra 400063"
10,"Ginger Mumbai, Andheri East",19.11606,72.85037,4800,"Mumbai","Teli Gali, Andheri East, Mumbai, Maharashtra 400069"
11,"Ibis Chennai Sipcot",12.83145,80.23061,10200,"Chennai","Beach, Old Mahabalipuram Road, opp. Sipcot It Park, near State Highway 49, Chennai, Tamil Nadu 603103"
12,"The Park Chennai",13.05379,80.25033,5300,"Chennai","601, Anna Salai, near US Embassy, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600006"
13,"The Raintree, St. Mary's Road",13.02894,80.2527,7500,"Chennai","120, St Mary's Road, Alwarpet, Chennai, Tamil Nadu 600018"
14,"Raj Palace Sundar",13.01871,80.26099,3000,"Chennai","12, Durgabai Deshmukh Rd, Opp. to Sathya Studio, Anna Sathya Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028"
15,"Radisson Blu Hotel Chennai City Center",13.06723,80.25573,8200,"Chennai","Ethiraj Salai, Egmore, Chennai, Tamil Nadu 600008"
16,"Four Points by Sheraton Ahmedabad",23.02267,72.56767,4000,"Ahmedabad","opposite Gujarat College, Ellisbridge, Ahmedabad, Gujarat 380006"
17,"Novotel Ahmedabad",23.0241,72.50708,7000,"Ahmedabad","Iscon Cross Roads, Sarkhej - Gandhinagar Hwy, next to Wide Angle Cinema, Ahmedabad, Gujarat 380015"
18,"The Hillock Ahmedabad",23.13378,72.56688,5000,"Ahmedabad","THE HILLOCK AHMEDABAD, Opp. The CBD, 200 ft, Ring Road, nr. Vaishnodevi Circle, Ahmedabad, Gujarat 382421"
19,"Hotel Regenta Inn Ahmedabad",23.06875,72.57613,3100,"Ahmedabad","ARVED TRANSCUBE PLAZA - THE FAMILY MALL, 132 Feet Ring Rd, opp. Adi-Jati Girls Hostel, Bandhu Nagar, Vijay Nagar, Ranip, Ahmedabad, Gujarat 382480"
20,"Regenta Central Antarim Hotel",23.0336,72.55678,3000,"Ahmedabad","Between Girish Coldrink & St. Xaviers Corner, Chimanlal Girdharlal Rd, Navrangpura, Ahmedabad, Gujarat 380006"
21,"Holiday Inn Bengaluru Racecourse",12.98024,77.5786,5500,"Bengaluru","Ward No.94, 16/1, Seshadri Rd, Gandhi Nagar, Bengaluru, Karnataka 560009"
22,"The Leela Palace Bengaluru",12.96043,77.64835,18000,"Bengaluru","23, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008"
23,"ibis Bengaluru City Centre",12.96746,77.59385,5100,"Bengaluru","Plot No - 30, Rajaram Mohan Roy Road, Off, Richmond Rd, Bengaluru, Karnataka 560027"
24,"Lemon Tree Premier Ulsoor Lake",12.98761,77.61678,10000,"Bengaluru","2/1, St Johns Rd, Halasuru, Hermit Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042"
25,"Clarks Exotica Resort",13.20708,77.63399,9500,"Bengaluru","Devanahalli Road, Hollywood Junction, Sadahalli Post, Swiss Town, Bengaluru, Karnataka 562110"
26,"The Imperial New Delhi",28.62531,77.21869,19000,"New Delhi","Janpath Ln, Janpath, Connaught Place, New Delhi, Delhi 110001"
27,"The Oberoi, New Delhi",28.59644,77.24021,16500,"New Delhi","Dr Zakir Hussain Marg, Delhi Golf Club, Golf Links, New Delhi, Delhi 110003"
28,"Andaz Delhi Aerocity",28.55465,77.12186,7400,"New Delhi","Gate No. 1, Asset No.1, Hospitality District Delhi, Aerocity, New Delhi, Delhi 110037"
29,"Roseate House",28.5512,77.12057,8700,"New Delhi","Asset 10, Northern Access Rd, Aerocity, Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi 110037"
30,"Vivanta Dwarka New Delhi",28.55832,77.06313,7400,"New Delhi","Service Rd, Sector 21, Dwarka, Delhi, 110075"
